matchup,p1_name,p2_name,episode,round,round_winner,p1_hp_final,p2_hp_final,p1_hp_ratio,p2_hp_ratio
Curriculum_vs_CPU,Curriculum,CPU,80,1,p2,0,40,0.0,0.2273
Curriculum_vs_CPU,Curriculum,CPU,80,2,p1,82,0,0.4659,0.0
Curriculum_vs_CPU,Curriculum,CPU,80,3,p1,72,0,0.4091,0.0
Curriculum_vs_CPU,Curriculum,CPU,81,1,p1,42,0,0.2386,0.0
Curriculum_vs_CPU,Curriculum,CPU,81,2,p1,176,0,1.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,82,1,p2,0,58,0.0,0.3295
Curriculum_vs_CPU,Curriculum,CPU,82,2,p2,0,49,0.0,0.2784
Curriculum_vs_CPU,Curriculum,CPU,83,1,p2,0,113,0.0,0.642
Curriculum_vs_CPU,Curriculum,CPU,83,2,p1,20,0,0.1136,0.0
Curriculum_vs_CPU,Curriculum,CPU,83,3,p1,78,0,0.4432,0.0
Curriculum_vs_CPU,Curriculum,CPU,84,1,p1,5,0,0.0284,0.0
Curriculum_vs_CPU,Curriculum,CPU,84,2,p2,0,59,0.0,0.3352
Curriculum_vs_CPU,Curriculum,CPU,84,3,p1,136,0,0.7727,0.0
Curriculum_vs_CPU,Curriculum,CPU,85,1,p1,16,0,0.0909,0.0
Curriculum_vs_CPU,Curriculum,CPU,85,2,p2,0,41,0.0,0.233
Curriculum_vs_CPU,Curriculum,CPU,85,3,p2,0,1,0.0,0.0057
Curriculum_vs_CPU,Curriculum,CPU,86,1,p1,85,0,0.483,0.0
Curriculum_vs_CPU,Curriculum,CPU,86,2,p2,0,62,0.0,0.3523
Curriculum_vs_CPU,Curriculum,CPU,86,3,p1,141,0,0.8011,0.0
Curriculum_vs_CPU,Curriculum,CPU,87,1,p2,0,14,0.0,0.0795
Curriculum_vs_CPU,Curriculum,CPU,87,2,p1,176,0,1.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,87,3,p1,134,0,0.7614,0.0
Curriculum_vs_CPU,Curriculum,CPU,88,1,p1,92,0,0.5227,0.0
Curriculum_vs_CPU,Curriculum,CPU,88,2,p2,0,123,0.0,0.6989
Curriculum_vs_CPU,Curriculum,CPU,88,3,p1,110,0,0.625,0.0
Curriculum_vs_CPU,Curriculum,CPU,89,1,p1,95,0,0.5398,0.0
Curriculum_vs_CPU,Curriculum,CPU,89,2,p2,0,13,0.0,0.0739
Curriculum_vs_CPU,Curriculum,CPU,89,3,p1,176,0,1.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,90,1,p1,145,0,0.8239,0.0
Curriculum_vs_CPU,Curriculum,CPU,90,2,p1,123,0,0.6989,0.0
Curriculum_vs_CPU,Curriculum,CPU,91,1,p2,0,128,0.0,0.7273
Curriculum_vs_CPU,Curriculum,CPU,91,2,p2,0,76,0.0,0.4318
Curriculum_vs_CPU,Curriculum,CPU,92,1,p2,0,90,0.0,0.5114
Curriculum_vs_CPU,Curriculum,CPU,92,2,p2,0,12,0.0,0.0682
Curriculum_vs_CPU,Curriculum,CPU,93,1,p2,0,25,0.0,0.142
Curriculum_vs_CPU,Curriculum,CPU,93,2,p1,59,0,0.3352,0.0
Curriculum_vs_CPU,Curriculum,CPU,93,3,p2,0,15,0.0,0.0852
Curriculum_vs_CPU,Curriculum,CPU,94,1,p2,0,172,0.0,0.9773
Curriculum_vs_CPU,Curriculum,CPU,94,2,p1,49,0,0.2784,0.0
Curriculum_vs_CPU,Curriculum,CPU,94,3,p1,176,0,1.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,95,1,p2,0,100,0.0,0.5682
Curriculum_vs_CPU,Curriculum,CPU,95,2,p2,0,1,0.0,0.0057
Curriculum_vs_CPU,Curriculum,CPU,96,1,p1,95,0,0.5398,0.0
Curriculum_vs_CPU,Curriculum,CPU,96,2,p1,176,0,1.0,0.0
